domain_age,phish_hints,ratio_extHyperlinks,ratio_intHyperlinks,safe_anchor,ratio_extRedirection,length_url,ratio_digits_url,length_words_raw,longest_words_raw,length_hostname,avg_word_path,domain_in_title,char_repeat,status,status-encoded
5075.0,0,0.470588235,0.529411765,0.0,0.875,37,0.0,4,11,19,4.5,0,4,legitimate,0
5767.0,0,0.033333333,0.966666667,100.0,0.0,77,0.220779221,4,32,23,14.66666667,1,4,phishing,1
4004.0,0,0.0,1.0,100.0,0.0,126,0.150793651,12,17,50,8.142857142999999,1,2,phishing,1
5075.0,0,0.026845638,0.973154362,62.5,0.25,18,0.0,1,5,11,0.0,1,0,legitimate,0
8175.0,0,0.529411765,0.470588235,0.0,0.537037037,55,0.0,6,11,15,7.0,0,3,legitimate,0
5075.0,0,0.7,0.3,0.0,0.571428571,32,0.0,4,7,24,0.0,1,3,phishing,1
7529.0,0,0.918367347,0.081632653,100.0,0.0,19,0.0,2,5,12,0.0,0,3,legitimate,0
5767.0,0,0.033333333,0.966666667,100.0,0.0,81,0.259259259,5,32,27,14.66666667,1,8,phishing,1
7298.0,0,0.793650794,0.206349206,27.27272727,0.38,42,0.0,2,21,34,0.0,1,0,legitimate,0
9368.0,1,0.221428571,0.7785714290000001,58.13953488,0.193548387,104,0.076923077,14,10,10,5.538461538,1,0,legitimate,0
5075.0,0,0.0,1.0,0.0,0.0,56,0.0,6,15,22,5.5,1,3,legitimate,0
7911.0,0,0.0681818179999999,0.931818182,62.5,0.166666667,43,0.186046512,6,8,16,3.75,1,3,legitimate,0
1505.0,0,0.224615385,0.775384615,38.79310345,0.04109589,83,0.012048193,11,10,14,5.0,1,2,legitimate,0
1761.0,0,0.0,1.0,0.0,0.0,31,0.064516129,3,8,10,6.0,1,1,phishing,1
2041.0,0,0.0663507109999999,0.933649289,69.69696970000001,0.357142857,25,0.0,2,8,16,0.0,0,4,legitimate,0
3892.0,0,0.0,1.0,0.0,0.0,51,0.019607843,5,12,23,5.666666667,1,1,phishing,1
8301.0,0,0.04,0.96,76.19047619,0.2,31,0.0,2,14,22,0.0,1,3,legitimate,0
2316.0,0,0.0,1.0,0.0,0.0,50,0.06,5,12,21,6.333333333,1,0,phishing,1
2935.0,0,0.0,0.0,0.0,0.0,34,0.0,3,15,23,2.0,1,3,phishing,1
3932.0,0,0.02283105,0.97716895,0.0,0.0,27,0.148148148,2,11,19,0.0,1,3,legitimate,0
8759.0,0,0.115646259,0.884353741,92.75362319,0.0,63,0.0,8,8,14,5.833333333,0,3,legitimate,0
5647.0,0,0.181818182,0.818181818,0.0,0.214285714,66,0.0,8,9,16,6.0,1,0,legitimate,0
1184.0,0,0.076923077,0.923076923,0.0,0.0,40,0.1,5,7,11,4.5,1,0,phishing,1
3476.0,0,0.084745763,0.915254237,50.0,0.2,48,0.0,6,9,16,5.25,1,0,legitimate,0
3993.0,0,0.0,1.0,100.0,0.0,126,0.095238095,13,17,50,7.375,1,7,phishing,1
7296.0,0,0.7142857140000001,0.285714286,0.0,0.0,41,0.0,2,19,32,0.0,1,0,phishing,1
6989.0,0,0.026086957,0.973913043,90.32258065,0.333333333,36,0.0,2,19,27,0.0,1,3,legitimate,0
4845.0,0,0.352941176,0.647058824,20.0,0.083333333,72,0.0,11,8,24,4.714285714,1,5,legitimate,0
3993.0,0,0.0,1.0,100.0,0.0,68,0.161764706,6,15,42,8.5,1,3,phishing,1
5075.0,1,0.516129032,0.483870968,0.0,0.4375,163,0.398773006,17,18,14,8.4,1,14,phishing,1
1170.0,0,0.052631579,0.947368421,50.0,0.2,26,0.0,2,10,18,0.0,0,3,legitimate,0
1237.0,0,0.611111111,0.388888889,0.0,0.0,64,0.34375,4,32,17,19.0,1,3,phishing,1
5627.0,0,0.80952381,0.19047619,25.0,0.294117647,36,0.25,4,11,28,0.0,1,1,phishing,1
3767.0,0,1.0,0.0,0.0,0.0,61,0.0,7,10,14,5.666666667,1,1,phishing,1
9316.0,0,0.457142857,0.542857143,0.0,0.0625,66,0.212121212,6,21,17,9.25,0,3,legitimate,0
7849.0,0,0.625,0.375,45.45454545,0.4,35,0.0,2,19,26,0.0,1,3,legitimate,0
3920.0,0,0.6882494,0.3117506,0.0,0.146341463,113,0.0,16,20,24,4.466666667,1,4,phishing,1
5159.0,0,0.518518519,0.481481481,8.333333332999999,0.7142857140000001,41,0.0,6,6,34,0.0,1,3,legitimate,0
5075.0,0,0.125,0.875,17.39130435,0.35,23,0.0,4,3,12,3.0,1,3,legitimate,0
5230.0,1,0.267759563,0.7322404370000001,22.80701754,0.346938776,31,0.0,3,7,24,0.0,1,2,legitimate,0
3125.0,4,0.0,1.0,100.0,0.0,84,0.0,9,26,30,4.875,1,0,phishing,1
5026.0,0,0.0,1.0,0.0,0.0,29,0.0,3,8,17,4.0,1,0,phishing,1
2300.0,2,0.454545455,0.545454545,60.0,0.0,98,0.295918367,10,32,26,8.142857142999999,1,4,phishing,1
